,,,,,,,,,,,~M,,,,,,,,,,,,,
,~,~,~,~,~,~,~,,~,~,~M,~,~,~,~,~,~,,~,~,~,~,~,
,~,,,,,,~,,~,,,,,,,,~,,~,,~,,~,
,~,,~,~,~,,~,~,~,,~,~,~,,~,~,~,,~,,~,,~,
,~,,~,,~,,,,,,~,,~,,~,,,,,,~,,~,
,~,,~,,~,~,~,,~,,~,,~,~,~,,~,~,~,~,~,,~,
,~,,~,,,,~,,~,,~,,,,,,,,~,,,,~,
,~,~,~,,~,~,~,,~,,~,~,~,,~,~,~,,~,~,~,,~,
,,,~,,~,,,,~,,,,~,,~,,~,,,,~,,~,
,~,,~,,~,~,~,,~,~,~,,~,,~,,~,~,~,~,~,,~,
,~,,~,,,,~,,~,,~,,~,,~,,,,,,,,~,
,~,,~,,~,~,~,,~,,~,,~,,~,,~,~,~,~,~,~,~,
,~,,,,~,,,,,,~,,~,,~,,~,,,,,,,
,~,~,~,,~,~,~,~,~,,~,~,~,~,~,,~,~,~,,~,~,~,
,,,~,,~,,,,~,,,,,,,,,,~,,~,,~,
,~,~,~,,~,,~,,~,~,~,~,~,~,~,~,~,,~,,~,,~,
,~,,,,~,,~,,,,,,,,,,~,,~,,,,~,
,~,~,~,,~,~,~,~,~,~,~,,~,~,~,,~,,~,~,~,,~,
,,,~,,,,,,,,~,,,,~,,~,,,,~,,~,
,~,,~,~,~,,~,~,~,~,~,,~,~,~,,~,,~,,~,~,~,
,~,,,,~,,~,,,,,,~,,,,~,,~,,,,~,
,~,~,~,~,~,,~,~,~,~,~,~,~,,~,~,~,,~,,~,~,~,
,~,,,,,,,,,,,,~,,~,,,,~,,~,,,
,~,~,~,,~,~,~,~,~,~,~,,~,,~,,~,~,~,,~,,~,
,,,~,,~,,,,,,~,,,,~,,~,,,,~,,~,
,~,,~,~,~,,~,~,~,,~,~,~,~,~,,~,~,~,,~,~,~,
,~,,,,,,~,,~,,,,,,,,~,,~,,,,~,
,~,~,~,,~,~,~,,~,~,~,,~,~,~,~,~,,~,~,~,~,~,
,~,,,,~,,,,~,,,,~,,,,,,,,,,,
,~,,~,~,~,,~,,~,~,~,~,~,,~,~,~,~,~,~,~,~,~,
,~,,~,,,,~,,,,,,,,,,,,,,~,,~,
,~,,~,~,~,~,~,,~,~,~,~,~,~,~,~,~,~,~,,~,,~,
,~,,,,,,~,,,,,,,,~,,,,~,,~,,~,
,~,~,~,~,~,,~,~,~,~,~,~,~,,~,,~,,~,,~,,~,
,~,,~,,,,,,,,,,~,,~,,~,,~,,,,~,
,~,,~,~,~,~,~,~,~,~,~,~,~,~,~,,~,~,~,~,~,~,~,
,,,,,,,,,,,,,H~,,,,,,,,,,,
