, , , ,, , , , , , , , , ,,~M,,,,,,,,,,,,,,,
,~,~,~,,~,~,~,~,~,~,~,~,~,,~M,~,~,,~,~,~,,~,~,~,~,~,~,~,
,~,,~,,~,,,,~,,,,~,,~,,~,,~,,~,,~,,~,,,,~,
,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,
,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,,,,~,,~,,~,
,~,,~,~,~,~,~,,~,,~,,~,,~,,~,,~,,~,~,~,,~,,~,~,~,
,~,,,,,,~,,~,,~,,~,,~,,~,,~,,,,~,,~,,~,,,
,~,,~,~,~,,~,,~,,~,~,~,~,~,,~,,~,,~,,~,,~,,~,,~,
,~,,~,,~,,~,,~,,,,,,,,~,,~,,~,,~,,~,,~,,~,
,~,,~,,~,,~,,~,,~,~,~,,~,,~,,~,,~,,~,,~,,~,~,~,
,~,,~,,~,,,,~,,~,,~,,~,,~,,~,,~,,~,,~,,,,~,
,~,,~,,~,~,~,,~,,~,,~,,~,~,~,~,~,,~,,~,,~,,~,,~,
,~,,~,,,,~,,~,,~,,~,,,,,,,,~,,~,,~,,~,,~,
,~,,~,,~,,~,,~,,~,,~,~,~,,~,~,~,,~,,~,,~,,~,~,~,
,~,,~,,~,,~,,~,,~,,,,~,,~,,~,,~,,~,,~,,,,~,
,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,~,~,,~,
,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,
,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,
,,,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,
,~,,~,,~,,~,,~,,~,~,~,,~,,~,,~,,~,,~,,~,,~,,~,
,~,,~,,~,,~,,~,,,,~,,~,,~,,~,,~,,~,,,,~,,,
,~,,~,,~,,~,,~,~,~,,~,,~,,~,,~,,~,,~,~,~,,~,~,~,
,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,,,,~,,~,,~,
,~,~,~,,~,,~,,~,,~,,~,,~,~,~,,~,,~,~,~,,~,,~,,~,
,,,,,~,,~,,~,,~,,~,,,,,,~,,~,,~,,~,,~,,~,
,~,~,~,~,~,,~,,~,,~,,~,,~,~,~,,~,,~,,~,,~,,~,,~,
,~,,,,,,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,
,~,~,~,,~,~,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,
,~,,~,,~,,,,,,~,,~,,~,,~,,~,,,,~,,~,,~,,~,
,~,,~,,~,,~,~,~,,~,~,~,,~,,~,~,~,,~,~,~,,~,,~,,~,
,~,,~,,~,,~,,~,,~,,,,~,,,,,,~,,~,,~,,,,~,
,~,,~,~,~,,~,,~,,~,,~,,~,,~,~,~,,~,,~,,~,~,~,,~,
,~,,,,,,~,,~,,~,,~,,~,,~,,~,,~,,,,,,~,,~,
,~,,~,~,~,,~,,~,,~,~,~,,~,,~,,~,,~,~,~,~,~,,~,,~,
,~,,~,,~,,~,,~,,,,~,,~,,~,,~,,~,,~,,~,,~,,~,
,~,~,~,,~,,~,,~,,~,~,~,,~,,~,,~,~,~,,~,,~,,~,,~,
,,,,,~,,~,,~,,,,,,~,,~,,,,,,~,,,,~,,~,
,~,~,~,,~,,~,,~,,~,~,~,,~,,~,,~,~,~,,~,~,~,,~,,~,
,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,,,,~,,~,,~,
,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,
,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,,~,
,~,,~,~,~,~,~,,~,~,~,,~,~,~,,~,~,~,,~,~,~,,~,~,~,~,~,
,,,,,,,,,,,,,,,~H,,,,,,,,,,,,,,,
