,,,,,,,,,,,~M,,,,,,,,,,,
,~,~,~,~,~,~,~,,~,~,~M,,~,~,~,~,~,~,~,~,~,
,~,,~,,,,~,,~,,~,,~,,,,,,,,~,
,~,,~,,~,~,~,,~,,~,~,~,,~,,~,~,~,~,~,
,,,~,,~,,,,~,,,,,,~,,~,,,,,
,~,~,~,,~,,~,~,~,,~,~,~,~,~,,~,,~,~,~,
,~,,,,,,~,,,,~,,~,,,,~,,~,,~,
,~,~,~,,~,~,~,,~,,~,,~,~,~,,~,~,~,,~,
,,,~,,~,,,,~,,~,,,,~,,,,,,~,
,~,~,~,,~,~,~,,~,,~,,~,~,~,,~,~,~,,~,
,~,,~,,,,~,,~,,~,,~,,~,,~,,~,,,
,~,,~,~,~,,~,,~,~,~,,~,,~,,~,,~,~,~,
,~,,,,,,~,,,,,,~,,,,~,,~,,~,
,~,~,~,~,~,,~,~,~,~,~,,~,,~,~,~,,~,,~,
,,,,,~,,,,,,~,,~,,~,,,,~,,,
,~,~,~,~,~,~,~,~,~,,~,,~,~,~,~,~,,~,~,~,
,~,,,,,,,,~,,~,,,,,,~,,,,~,
,~,~,~,~,~,~,~,,~,,~,~,~,~,~,,~,~,~,,~,
,~,,,,,,~,,,,,,,,~,,,,~,,~,
,~,,~,~,~,,~,~,~,~,~,,~,~,~,,~,~,~,,~,
,~,,,,~,,,,~,,,,~,,,,~,,,,~,
,~,~,~,,~,~,~,,~,~,~,,~,,~,~,~,~,~,,~,
,,,~,,,,~,,,,~,,~,,,,~,,,,~,
,~,,~,~,~,,~,~,~,,~,,~,~,~,,~,,~,~,~,
,~,,,,~,,~,,,,~,,,,~,,,,~,,,
,~,~,~,,~,~,~,,~,~,~,~,~,,~,~,~,,~,~,~,
,~,,,,,,~,,~,,,,,,,,~,,,,~,
,~,,~,~,~,~,~,,~,~,~,~,~,~,~,,~,~,~,,~,
,~,,~,,,,,,,,,,,,~,,,,~,,~,
,~,~,~,,~,~,~,~,~,~,~,~,~,,~,~,~,,~,,~,
,~,,,,,,~,,,,,,~,,,,~,,~,,~,
,~,~,~,~,~,~,~,,~,~,~,~,~,~,~,,~,~,~,~,~,
,,,,,,,,,,,~H,,,,,,,,,,,
