,,,,,,,,,,,,,,,~M,,,,,,,,,,,,,,,
,~,~,~,~,~,~,~,,~,~,~,~,~,~,~M,~,~,~,~,~,~,~,~,~,~,~,~,~,~,
,~,,,,~,,,,~,,,,,,,,,,,,,,,,,,~,,,
,~,~,~,,~,~,~,,~,~,~,~,~,~,~,~,~,~,~,,~,~,~,~,~,,~,~,~,
,,,,,,,~,,,,,,,,,,,,~,,~,,,,,,,,~,
,~,~,~,~,~,~,~,~,~,~,~,~,~,,~,~,~,~,~,,~,,~,~,~,~,~,~,~,
,~,,,,,,,,,,,,,,~,,,,,,~,,~,,,,,,,
,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,,~,~,~,~,~,~,~,
,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,~,
,~,~,~,~,~,~,~,,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,
,,,~,,,,,,~,,,,,,,,,,,,,,,,,,,,~,
,~,~,~,,~,~,~,~,~,,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,,~,
,,,,,~,,,,,,~,,,,,,,,,,,,,,~,,,,~,
,~,~,~,~,~,,~,~,~,,~,~,~,~,~,~,~,,~,~,~,~,~,,~,~,~,~,~,
,~,,,,,,~,,,,,,,,,,~,,,,~,,,,,,,,,
,~,~,~,~,~,,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,
,,,,,~,,,,,,,,,,,,,,,,,,,,,,,,,
,~,~,~,~,~,,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,
,~,,,,,,~,,,,,,,,,,,,,,,,,,,,,,~,
,~,~,~,~,~,~,~,,~,~,~,~,~,~,~,~,~,~,~,,~,~,~,,~,~,~,~,~,
,~,,,,,,,,~,,,,,,,,,,~,,,,~,,~,,,,,
,~,~,~,,~,~,~,~,~,,~,~,~,~,~,~,~,~,~,~,~,~,~,,~,~,~,~,~,
,,,~,,,,,,~,,,,,,,,,,,,,,,,,,,,~,
,~,~,~,~,~,~,~,,~,~,~,,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,
,,,,,,,~,,,,~,,~,,,,,,,,,,,,,,,,,
,~,~,~,,~,~,~,~,~,~,~,,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,
,~,,,,~,,,,,,,,,,,,,,,,,,,,,,,,~,
,~,~,~,~,~,,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,,~,~,~,~,~,
,~,,,,,,~,,,,,,,,,,,,,,,,~,,~,,,,,
,~,~,~,~,~,,~,~,~,~,~,,~,~,~,~,~,,~,~,~,~,~,,~,~,~,~,~,
,,,,,,,,,,,~,,~,,,,,,~,,,,,,,,,,~,
,~,~,~,~,~,~,~,,~,~,~,,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,
,,,~,,,,~,,,,~,,,,,,,,,,,,,,,,,,~,
,~,~,~,,~,~,~,~,~,~,~,,~,~,~,~,~,,~,~,~,~,~,~,~,~,~,~,~,
,~,,,,,,,,,,,,~,,,,,,~,,,,,,,,,,,
,~,~,~,~,~,~,~,~,~,~,~,~,~,,~,~,~,~,~,,~,~,~,~,~,~,~,~,~,
,,,,,,,,,,,,,,,~,,,,,,,,,,,,,,~,
,~,~,~,~,~,~,~,~,~,~,~,~,~,,~,~,~,~,~,,~,~,~,~,~,~,~,~,~,
,~,,~,,,,,,,,,,,,,,,,~,,~,,,,,,,,,
,~,,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,,~,~,~,~,~,~,~,~,~,
,~,,,,,,,,,,,,,,,,,,,,,,,,,,,,~,
,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,
,,,,,,,,,,,,,,,~H,,,,,,,,,,,,,,,
