,,,,,,,,,,,~M,,,,,,,,,,,
,~,~,~,~,~,~,~,~,~,~,~M,,~,~,~,~,~,,~,~,~,
,,,,,,,,,,,~,,~,,~,,~,,,,~,
,~,~,~,~,~,~,~,~,~,,~,~,~,,~,,~,~,~,~,~,
,,,,,,,,,~,,,,,,~,,,,,,~,
,~,~,~,~,~,~,~,,~,~,~,~,~,~,~,,~,~,~,~,~,
,~,,,,,,~,,,,,,,,,,~,,,,,
,~,~,~,~,~,,~,~,~,~,~,~,~,,~,~,~,,~,~,~,
,~,,,,~,,,,~,,,,,,~,,,,~,,~,
,~,~,~,,~,,~,~,~,,~,~,~,,~,,~,~,~,,~,
,,,~,,~,,,,,,~,,~,,~,,~,,~,,~,
,~,,~,,~,~,~,,~,~,~,,~,,~,,~,,~,,~,
,~,,~,,,,~,,~,,,,~,,~,,~,,~,,,
,~,~,~,~,~,,~,~,~,,~,~,~,,~,,~,,~,~,~,
,,,,,,,,,~,,~,,~,,~,,,,~,,~,
,~,~,~,~,~,~,~,,~,,~,,~,,~,~,~,,~,,~,
,~,,,,,,~,,,,~,,,,,,~,,,,~,
,~,~,~,,~,~,~,~,~,,~,~,~,~,~,,~,~,~,~,~,
,,,~,,,,,,~,,~,,~,,~,,,,,,~,
,~,~,~,,~,~,~,,~,,~,,~,,~,~,~,~,~,,~,
,~,,,,~,,~,,~,,,,~,,,,,,~,,~,
,~,~,~,~,~,,~,,~,~,~,~,~,,~,,~,~,~,,~,
,~,,,,,,~,,,,,,,,~,,~,,,,~,
,~,~,~,,~,,~,~,~,,~,~,~,,~,~,~,,~,,~,
,,,~,,~,,,,~,,~,,,,~,,,,~,,~,
,~,,~,,~,~,~,,~,,~,,~,~,~,~,~,~,~,,~,
,~,,~,,~,,,,~,,~,,~,,,,,,,,~,
,~,,~,,~,~,~,,~,,~,~,~,,~,~,~,~,~,~,~,
,~,,~,,~,,~,,~,,,,,,~,,,,,,,
,~,~,~,,~,,~,,~,,~,~,~,,~,~,~,~,~,,~,
,~,,,,,,~,,~,,~,,~,,,,,,~,,~,
,~,~,~,~,~,~,~,,~,~,~,,~,~,~,~,~,~,~,~,~,
,,,,,,,,,,,~H,,,,,,,,,,,
