,,,,,,,,,,,,,,,,,~,~,~,,,,,,,,,,,,,,,,,,,,,
,~,,~,~,~,~,~,~,~,,~,~,~,~,~,~,~,~M,~,,~,~,~,,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,
,~,,~,,~,,,,~,,~,,,,,,~,~M,~,,~,,~,,~,,,,,,,,,,,,,,~,
,~,~,~,,~,,~,~,~,,~,~,~,,~,,~,~,~,,~,,~,~,~,,~,~,~,,~,~,~,,~,~,~,~,~,
,~,,,,~,,,,,,,,~,,~,,,,~,,~,,,,,,~,,,,~,,~,,~,,,,~,
,~,,~,,~,,~,~,~,~,~,,~,,~,~,~,,~,~,~,~,~,~,~,~,~,,~,~,~,,~,~,~,,~,,~,
,~,,~,,~,,~,,,,~,,~,,~,,,,,,,,,,,,,,~,,,,,,,,~,,~,
,~,,~,,~,,~,~,~,,~,,~,,~,,~,~,~,~,~,~,~,,~,~,~,~,~,,~,,~,~,~,,~,~,~,
,~,,~,,~,,,,~,,~,,~,,~,,~,,,,,,~,,~,,,,,,~,,~,,~,,~,,,
,~,~,~,,~,~,~,~,~,,~,~,~,~,~,,~,~,~,~,~,,~,~,~,,~,~,~,,~,~,~,,~,~,~,~,~,
,,,~,,,,,,,,,,,,,,~,,,,~,,,,,,~,,,,~,,,,,,,,,
,~,~,~,,~,~,~,~,~,~,~,,~,~,~,,~,~,~,,~,~,~,,~,,~,~,~,~,~,~,~,~,~,,~,~,~,
,~,,,,,,,,~,,,,~,,~,,,,,,,,~,,~,,~,,,,,,,,,,~,,~,
,~,~,~,~,~,~,~,~,~,,~,~,~,,~,~,~,~,~,,~,~,~,,~,~,~,~,~,~,~,,~,~,~,~,~,,~,
,,,,,,,~,,,,~,,,,,,,,~,,~,,,,~,,,,,,,,~,,,,,,~,
,~,~,~,~,~,,~,,~,~,~,,~,~,~,,~,~,~,,~,,~,~,~,~,~,,~,~,~,~,~,,~,~,~,,~,
,~,,,,,,~,,~,,,,~,,~,,~,,,,~,,,,,,~,,~,,,,,,~,,~,,~,
,~,~,~,~,~,~,~,,~,,~,~,~,,~,,~,,~,~,~,~,~,,~,~,~,,~,,~,~,~,,~,,~,~,~,
,~,,,,,,~,,~,,~,,,,~,,~,,,,,,~,,,,,,~,,,,~,,~,,,,~,
,~,,~,~,~,,~,,~,,~,,~,~,~,,~,,~,~,~,,~,,~,~,~,~,~,~,~,~,~,,~,~,~,,~,
,~,,~,,~,,,,~,,~,,~,,,,~,,~,,~,,~,,~,,,,,,,,~,,,,~,,,
