,,,,,,,,,,,~M,,,,,,,,,,,,,
,~,~,~,~,~,,~,~,~,~,~M,~,~,,~,~,~,~,~,~,~,~,~,
,,,~,,,,~,,~,,,,,,~,,,,,,~,,~,
,~,~,~,,~,~,~,,~,~,~,~,~,,~,,~,,~,~,~,,~,
,~,,,,~,,,,,,,,~,,~,,~,,~,,,,,
,~,~,~,~,~,~,~,,~,~,~,,~,~,~,,~,,~,~,~,~,~,
,,,,,,,,,~,,~,,~,,,,~,,,,,,~,
,~,~,~,,~,~,~,~,~,,~,,~,~,~,~,~,,~,~,~,,~,
,~,,~,,~,,,,,,~,,,,,,,,~,,~,,~,
,~,,~,~,~,,~,,~,~,~,,~,~,~,,~,~,~,,~,~,~,
,~,,,,,,~,,~,,,,~,,~,,~,,,,,,~,
,~,~,~,,~,~,~,,~,,~,~,~,,~,~,~,,~,~,~,,~,
,~,,,,~,,,,~,,~,,,,,,,,~,,~,,~,
,~,,~,~,~,,~,~,~,,~,~,~,~,~,,~,,~,,~,~,~,
,~,,~,,,,~,,,,,,,,~,,~,,~,,,,,
,~,,~,~,~,~,~,,~,~,~,~,~,~,~,,~,~,~,,~,~,~,
,~,,,,,,,,~,,~,,,,,,~,,,,,,~,
,~,~,~,,~,,~,~,~,,~,~,~,,~,~,~,,~,~,~,~,~,
,,,~,,~,,~,,,,,,~,,~,,,,~,,,,~,
,~,~,~,,~,~,~,~,~,~,~,,~,,~,~,~,~,~,,~,~,~,
,~,,,,,,,,~,,,,~,,,,,,,,~,,,
,~,,~,~,~,,~,~,~,,~,~,~,,~,~,~,~,~,,~,,~,
,~,,~,,~,,,,,,~,,,,~,,,,~,,~,,~,
,~,,~,,~,,~,~,~,~,~,,~,~,~,,~,~,~,,~,~,~,
,~,,~,,~,,~,,,,,,,,~,,~,,,,,,~,
,~,~,~,,~,~,~,,~,~,~,~,~,~,~,,~,,~,~,~,,~,
,,,,,,,,,~,,~,,,,,,,,~,,~,,~,
,~,~,~,~,~,~,~,~,~,,~,~,~,,~,~,~,~,~,,~,,~,
,~,,,,,,,,,,,,~,,~,,,,,,~,,~,
,~,~,~,~,~,,~,,~,~,~,,~,,~,~,~,,~,,~,~,~,
,,,,,~,,~,,~,,~,,~,,,,~,,~,,,,,
,~,,~,~,~,,~,,~,,~,~,~,~,~,,~,~,~,,~,~,~,
,~,,~,,,,~,,~,,,,,,,,,,~,,~,,,
,~,,~,,~,~,~,,~,,~,~,~,,~,~,~,~,~,,~,~,~,
,~,,~,,,,~,,~,,~,,~,,~,,,,,,,,~,
,~,~,~,~,~,~,~,,~,~,~,,~,~,~,~,~,~,~,~,~,~,~,
,,,,,,,,,,,,,H~,,,,,,,,,,,
